Date,Time,Latitude,Longitude,Depth,Mag,Magt,Nst,Gap,Clo,RMS,SRC,EventID
 2003/12/22 , 19:15:56.26 , 35.7002 , -121.0973 , 8.05 , 6.50 , Mw , 44 , 79 , 5 , 0.06 , NCSN ,21323712
 2004/09/18 , 23:02:17.75 , 38.0095 , -118.6785 , 5.49 , 5.55 , Mw , 50 , 55 , 6 , 0.08 , NCSN ,21396205
 2004/09/18 , 23:43:31.71 , 38.0112 , -118.6775 , 7.01 , 5.15 , Md , 21 , 71 , 6 , 0.08 , NCSN ,30500747
 2004/09/18 , 23:43:41.79 , 38.0187 , -118.6625 , 10.24 , 5.40 , Mw , 50 , 178 , 7 , 0.09 , NCSN ,30500748
 2004/09/28 , 17:15:24.25 , 35.8182 , -120.3660 , 8.58 , 5.96 , Mw , 60 , 26 , 2 , 0.04 , NCSN ,30228270
 2004/09/29 , 17:10:04.03 , 35.9537 , -120.5022 , 11.37 , 5.00 , Mw , 62 , 33 , 0 , 0.07 , NCSN ,21401069
 2004/09/30 , 18:54:28.84 , 35.9880 , -120.5378 , 10.55 , 5.00 , Mw , 63 , 27 , 2 , 0.05 , NCSN ,21401170
 2005/06/15 , 02:50:51.69 , 41.2403 , -125.9842 , 5.00 , 7.10 , Mw , 197 , 251 , 163 , 0.43 , NCSN ,21462362
 2006/07/19 , 11:41:43.46 , 40.2807 , -124.4332 , 20.69 , 5.00 , Mw , 32 , 223 , 23 , 0.09 , NCSN ,21527987
 2007/02/26 , 12:19:54.48 , 40.6428 , -124.8662 , 0.01 , 5.40 , Mw , 87 , 241 , 48 , 0.19 , NCSN ,40193932
 2007/05/09 , 07:50:03.83 , 40.3745 , -125.0162 , 0.17 , 5.20 , Mw , 56 , 239 , 62 , 0.14 , NCSN ,51181705
 2007/06/25 , 02:32:24.62 , 41.1155 , -124.8245 , 3.36 , 5.00 , Mw , 177 , 213 , 67 , 0.28 , NCSN ,51183469
 2007/10/31 , 03:04:54.81 , 37.4337 , -121.7743 , 10.04 , 5.45 , Mw , 157 , 50 , 3 , 0.12 , NCSN ,40204628
 2007/11/19 , 20:32:47.00 , 43.5410 , -127.5070 , 10.00 , 5.42 , Mw , 12 , 303 , 260 , 0.99 , NCSN ,40205861
